,kurtosis,skewness,crest_factor,margin_factor,shape_factor,impulse_factor,zero_crossing_rate,mean_crossing_rate,kurtosis_1st_derivative,skewness_1st_derivative,off_harmonic_energy_ratio,spectral_centroid,spectral_entropy,spectral_flatness,spectral_rolloff_85,spectral_spread,spectral_skewness,spectral_kurtosis,cross_correlation_coeff,cross_axis_peak_delay,bivariate_orbit_radius_ratio,coherence_at_tpf,coherence_at_dominant_resonant,cross_spectral_centroid,multi_axis_energy_asymmetry,d1_energy,d2_energy,d3_energy,d4_energy,a4_energy,wavelet_energy_entropy,d1_wavelet_kurtosis,d3_wavelet_std,d1_relative_energy,d3_d4_subband_energy_ratio,permutation_entropy,higuchi_fractal_dimension,katz_fractal_dimension,phase_space_ellipsicity,phase_space_area,ar_coeff_1,ar_coeff_2,ar_coeff_3,ar_residual_variance,autocorr_first_zero_lag,harmonic_peak_ratio,dominant_peak_tpf_ratio,transimpedance,acceleration_jerk_rms
kurtosis,1.0,0.972802113215015,0.9298264845605354,0.9396008063580082,0.8592741706154327,0.9462959942351746,-0.14614523290653517,-0.14614523290653517,-0.026660998502033764,-0.5588466789708141,0.7386377490616844,0.6455121701735757,0.9131502544921404,0.8209488696609606,0.4501288416021805,0.282812620535513,-0.4682979994561642,-0.38061892246508183,0.06135493669421434,0.6182808323515813,-0.2625037517485352,-0.14142588036551057,-0.3773104134650352,0.4496506841912574,0.7930792521008811,0.8383483597535059,0.855303111210717,0.9037782586960994,0.40373133083147916,0.025006276789034998,0.6203396987817876,0.07770601729824353,0.9147561289541304,0.5411616231258662,0.712502121289433,0.5970838417322988,0.8781196064212138,0.7013397865635341,0.08895659667412202,0.29390450634028314,0.2971468196643793,-0.5381600313132355,0.6431219925662552,0.8108830544497582,-0.31893600025772256,-0.014991903959472374,0.33690037157506864,-0.3619484799086874,0.4294978684052186
skewness,0.972802113215015,1.0,0.9662754804578566,0.9386276700803848,0.8925196653905296,0.9656409997277505,-0.13873955570704433,-0.13873955570704433,-0.022741518765339724,-0.6001166866091876,0.6891403134633477,0.6804558588834573,0.9624752175711565,0.7922388302377434,0.4782220641420118,0.30417879038328355,-0.5105012276597503,-0.42104795152057733,0.08382172486419424,0.6702670110134843,-0.2438214983055909,-0.013776308428208532,-0.30285948901156606,0.4244788189420048,0.8136810174275395,0.765529193249964,0.7884942586582423,0.8777053128157984,0.3863939939278142,-0.05602447012435065,0.6602732177407825,0.10060821602861786,0.898047774151524,0.5200415353368603,0.7194889222082471,0.6008651798987288,0.874737642313858,0.6790584505026372,0.11435862296608758,0.23530868983178696,0.36882795507967076,-0.6177677634829626,0.7236098061192535,0.7382527271331375,-0.28976882130804255,0.0055991319440301165,0.3602658994798554,-0.3790723818262943,0.3814478191382331
crest_factor,0.9298264845605354,0.9662754804578566,1.0,0.9486874999345757,0.9156689990865613,0.9866972852983475,-0.1016312119996097,-0.1016312119996097,0.02366071876943086,-0.5495100106528642,0.5577537257095357,0.7046248666048914,0.9674676827627501,0.7778836399081146,0.519742695044463,0.3396886336723397,-0.5420770414231048,-0.44372074188886285,0.057823988584739916,0.6891195882377007,-0.21737696602311735,0.12787429853857268,-0.20181696812795544,0.422031711086689,0.7249082601549939,0.7426740006481749,0.7759030716612992,0.8578978977773563,0.35107819956003095,-0.18657908837414613,0.6930524959533276,0.15699744266989177,0.8534236955060311,0.520095730025021,0.698032261792164,0.5308513671329733,0.8328522568849297,0.6197804021072618,0.14298290299193134,0.15991721068110062,0.35708796350873373,-0.6067527890334118,0.7147947201899003,0.7025662619642968,-0.27921544693679085,0.046586240396559966,0.40726660073841503,-0.33780474779961406,0.266231532457642
margin_factor,0.9396008063580082,0.9386276700803848,0.9486874999345757,1.0,0.9681988588154481,0.9867779496959878,-0.05204190955860559,-0.05204190955860559,0.0601899995267822,-0.3743949451989968,0.515910482759117,0.7260837317993925,0.9341768464971438,0.8279898800378177,0.5696307271338348,0.38449724005156116,-0.5567893111771486,-0.4491880890933082,0.01319865874530843,0.6372377773528821,-0.32177084994328736,0.06523356473623806,-0.2511663345897244,0.4888700044155907,0.6365415766354663,0.839670097258815,0.8537381749305719,0.8520317961138348,0.21407791424492711,-0.2512280838544832,0.6892676402608904,0.16709029124031075,0.8136142485135677,0.621790288866337,0.7399517207286193,0.41727589061765985,0.81904151042518,0.5342668346823396,0.11830516068121326,0.13338431405843923,0.19213422846772785,-0.4565381198021965,0.5902913042905379,0.7979155112801878,-0.289116101151362,0.19901634542121407,0.5514676280423327,-0.2846540787239883,0.25054098875512687
shape_factor,0.8592741706154327,0.8925196653905296,0.9156689990865613,0.9681988588154481,1.0,0.9573771817888994,0.008863987291623607,0.008863987291623607,0.11437964629740512,-0.267997057270077,0.33527903561515787,0.7507698969532088,0.9195436643577068,0.7679445771632354,0.6196823234313864,0.43552248425535955,-0.6050409275431189,-0.48978972639348717,-0.02130090609160712,0.6000754260599183,-0.3217723315396032,0.24826691030306822,-0.11973527069120961,0.47385802401974375,0.521541547269974,0.7658361457550923,0.7738200513898211,0.7736398349476757,0.07221949838003434,-0.4324586887489435,0.7101794310359869,0.2071593431715373,0.72498741749313,0.6291715996158532,0.7324860261031538,0.30330831082147935,0.7528375066132038,0.4039018501186672,0.13997496116174585,-0.021296069638751306,0.17239973249624202,-0.4462066592941109,0.593841183042598,0.7329448782232192,-0.23633196622011407,0.33479936350313955,0.6677405799224089,-0.21764863548630367,0.0940977061027577
impulse_factor,0.9462959942351746,0.9656409997277505,0.9866972852983475,0.9867779496959878,0.9573771817888994,1.0,-0.07996186588602676,-0.07996186588602676,0.03978517112179436,-0.4652583997093429,0.5382312859116293,0.7200345679736535,0.9630052157386073,0.8080318653091078,0.5469668502074785,0.36194869750271885,-0.5525631683211989,-0.4486662863976435,0.03737073645401097,0.6699222991517529,-0.2730782797401691,0.10416789104026494,-0.22387774252680726,0.453513612033937,0.6892220385402666,0.8002132069362646,0.8258915859416337,0.8693952514708546,0.2875489263207841,-0.2269688218825084,0.6985022679976411,0.16806004886047454,0.8429631632343045,0.571695972879968,0.7227542363265885,0.4715457314951183,0.8309951096817855,0.5803083190924375,0.13003388233257945,0.1459913492768911,0.28349843580892925,-0.5423111829075675,0.664094978586602,0.7575244993868951,-0.28287101843632334,0.12688619248166574,0.49132472065508326,-0.3123817316640154,0.2603772597697825
zero_crossing_rate,-0.14614523290653517,-0.13873955570704433,-0.1016312119996097,-0.05204190955860559,0.008863987291623607,-0.07996186588602676,1.0,1.0,0.5482887872997603,0.4017761484336078,-0.26712575735962363,0.33144180354890357,-0.05761802951576011,-0.07323974218211982,0.4645015348443773,0.5629940641239942,-0.3780602861910534,-0.3523482524343516,-0.31387844379456614,-0.11089500556987658,0.02252209900378272,0.10536228605679072,0.17493717644849638,0.3439738700210716,-0.2768320044441129,-0.07502893631555067,-0.09074943210005555,-0.1009120052659959,-0.26921837961788364,-0.2042882870296514,0.14690847459644027,0.025302945074789827,-0.11668570737503553,0.27680140763638844,0.14857120707783333,-0.012137625634331397,0.007422205300001013,-0.252253234922379,0.45619657737426866,-0.1763562389130081,-0.40565234448575743,0.29152501723769914,-0.20818990226167222,-0.059602530495404836,-0.07411874153379241,0.29904257047415833,0.11939210472289281,0.23703291051880654,-0.23692555585678648
mean_crossing_rate,-0.14614523290653517,-0.13873955570704433,-0.1016312119996097,-0.05204190955860559,0.008863987291623607,-0.07996186588602676,1.0,1.0,0.5482887872997603,0.4017761484336078,-0.26712575735962363,0.33144180354890357,-0.05761802951576011,-0.07323974218211982,0.4645015348443773,0.5629940641239942,-0.3780602861910534,-0.3523482524343516,-0.31387844379456614,-0.11089500556987658,0.02252209900378272,0.10536228605679072,0.17493717644849638,0.3439738700210716,-0.2768320044441129,-0.07502893631555067,-0.09074943210005555,-0.1009120052659959,-0.26921837961788364,-0.2042882870296514,0.14690847459644027,0.025302945074789827,-0.11668570737503553,0.27680140763638844,0.14857120707783333,-0.012137625634331397,0.007422205300001013,-0.252253234922379,0.45619657737426866,-0.1763562389130081,-0.40565234448575743,0.29152501723769914,-0.20818990226167222,-0.059602530495404836,-0.07411874153379241,0.29904257047415833,0.11939210472289281,0.23703291051880654,-0.23692555585678648
kurtosis_1st_derivative,-0.026660998502033764,-0.022741518765339724,0.02366071876943086,0.0601899995267822,0.11437964629740512,0.03978517112179436,0.5482887872997603,0.5482887872997603,1.0,0.25272117942321753,-0.21070436307305468,0.33644017882066085,0.06279987437917207,0.07934550536648415,0.4316971494235492,0.44446982118635303,-0.3205727702157666,-0.27396444732594377,-0.20938720914351827,-0.06613701448794145,-0.06743537479928916,0.16542838397497514,0.13088686209841555,0.3141764220265265,-0.19046850869845108,0.05471491188338764,0.028823479322614563,-0.04542619867618662,-0.3034109307895387,-0.2602259294268094,0.12112483746174352,0.01137298354475817,-0.03381917196053784,0.35949689990903627,0.24157267590305773,-0.0017656139233960108,0.09861191179086319,-0.18423175521059346,0.2205184943625472,-0.24422762470759826,-0.3116096344022931,0.18938040539027934,-0.10240877129172535,0.07730554114279428,-0.06040832105683229,0.3305149617076757,0.20151510533874878,0.3640013434001084,-0.31051415763787266
skewness_1st_derivative,-0.5588466789708141,-0.6001166866091876,-0.5495100106528642,-0.3743949451989968,-0.267997057270077,-0.4652583997093429,0.4017761484336078,0.4017761484336078,0.25272117942321753,1.0,-0.7169437471605634,-0.17910318132272626,-0.5297316352091089,-0.4313258923636287,0.04901057438488393,0.16596667366288867,0.04008114747145388,0.020150632148389185,-0.24575297763538595,-0.4344328338433763,-0.14777264014070937,0.22370309337097322,0.37978530410072164,-0.05449210862128205,-0.7831198908248186,-0.3220089538383777,-0.3349144697519952,-0.44922989517422535,-0.508874557266888,-0.4045013718802937,-0.24565411672961746,0.19983169052391933,-0.6322168163864603,-0.010910922299425623,-0.31359195977241344,-0.7233206910210133,-0.5846222846479601,-0.752125969035698,-0.01458994184747564,-0.380625032797186,-0.6298731910230856,0.6844028205311921,-0.6340299733721657,-0.3325229011310172,0.1589163440511432,0.4734540841213698,0.2157629980671595,0.43678718182584503,-0.5085468498239588
off_harmonic_energy_ratio,0.7386377490616844,0.6891403134633477,0.5577537257095357,0.515910482759117,0.33527903561515787,0.5382312859116293,-0.26712575735962363,-0.26712575735962363,-0.21070436307305468,-0.7169437471605634,1.0,0.27061954770681756,0.5429875809802213,0.5200795882130984,0.07451682129286503,-0.009449072706453095,-0.13065337215042613,-0.11621606647068337,0.14564348959839246,0.44499985906377026,-0.10984621016793282,-0.6355180000929653,-0.5827262053872226,0.22514794622212173,0.8505810750408879,0.5102049591765807,0.5360985171096398,0.6486462927109131,0.5981360376683501,0.6119345374822649,0.25016392796632747,-0.09084471755677212,0.7309456410561943,0.1904700174036424,0.39096317450607937,0.7395092690758834,0.6632836806966856,0.7416998114629204,0.01007880789862315,0.5364410126667752,0.34516842732899633,-0.4501930942522664,0.4617225668876013,0.49115531780406996,-0.28602398315091115,-0.38520188313490833,-0.1995053147002048,-0.43266453789471415,0.6746978865076012
spectral_centroid,0.6455121701735757,0.6804558588834573,0.7046248666048914,0.7260837317993925,0.7507698969532088,0.7200345679736535,0.33144180354890357,0.33144180354890357,0.33644017882066085,-0.17910318132272626,0.27061954770681756,1.0,0.7792184984418448,0.6839029395912186,0.9576828711633322,0.8775083585364112,-0.9253085155990841,-0.8252739701817093,-0.2409322537364053,0.38241544436354585,-0.07894379039735377,0.16894646615578915,-0.0496537043818919,0.8800268257339772,0.3627676609192132,0.5840635861805339,0.5536050595404255,0.5247213849511156,-0.022847470595065332,-0.40045823691267857,0.9187472624624176,-0.13630951314625095,0.6381925770031045,0.8422335822510676,0.7325658326696975,0.5737678767132744,0.8036680682122036,0.4433656804414467,0.37365364793018097,0.005049520469032604,-0.23618874790782543,-0.10609601186137604,0.2983260466117245,0.5958780960940517,-0.5909708648355161,0.3444101565552074,0.47025793803642707,-0.42856637529594116,0.09697271646755741
spectral_entropy,0.9131502544921404,0.9624752175711565,0.9674676827627501,0.9341768464971438,0.9195436643577068,0.9630052157386073,-0.05761802951576011,-0.05761802951576011,0.06279987437917207,-0.5297316352091089,0.5429875809802213,0.7792184984418448,1.0,0.836960804506484,0.6021494447971389,0.4300874458396366,-0.6230849183281489,-0.5246777673882989,0.020649776549234715,0.650337811769427,-0.20438618109355527,0.14761226654952445,-0.19932944618569745,0.519802858641916,0.7019137067057258,0.7473031978213859,0.7638579829599751,0.8014668490601785,0.27695509379888406,-0.24402672879046236,0.7592259446576395,0.07655047712894315,0.8512209133586488,0.6151736740684294,0.7297359064056561,0.5850573250217136,0.8814721254707177,0.6272637323146503,0.15687127663834136,0.15591423537810092,0.27922144822022055,-0.5585232731773424,0.6887580781094184,0.7223924146061843,-0.34476350810297196,0.09885006993683083,0.41604250589151026,-0.3802364906130967,0.27971096551050323
