feature_name,valid_count,nan_count,inf_count,unique_count,min,max,mean,median,std,constant,near_constant,suspicious,notes
kurtosis,102,0,0,102,1.265430696605906,5.961283433842026,2.0411203399587468,1.500867756160886,1.107708716639468,False,False,False,OK
skewness,102,0,0,102,-0.1645191809837498,1.912744431066789,0.31306092586362694,0.0064576297570136,0.5790066346107399,False,False,False,OK
crest_factor,102,0,0,102,1.308328541789363,4.01487905873745,2.126276272295203,1.8155787929875071,0.6752293990541502,False,False,False,OK
margin_factor,102,0,0,102,1.3421412033327913,19.40819363545284,5.009580483874956,3.415894966989784,3.8758660134871303,False,False,False,OK
shape_factor,102,0,0,102,1.0119080856167044,1.928963247968539,1.3436097344065394,1.291855831890702,0.19392221552460373,False,False,False,OK
impulse_factor,102,0,0,102,1.3335548725125632,7.701421028212779,2.9756095248028096,2.298473490513606,1.4643035670501348,False,False,False,OK
zero_crossing_rate,102,0,0,66,0.0647936550611641,0.1250325605626465,0.08387132714362984,0.08071237225915265,0.011343769155704007,False,False,False,OK
mean_crossing_rate,102,0,0,66,0.0647936550611641,0.1250325605626465,0.08387132714362984,0.08071237225915265,0.011343769155704007,False,False,False,OK
kurtosis_1st_derivative,102,0,0,102,1.5084679237609089,6.276422367746161,2.0982625319175607,1.8353491511212177,0.7845002125423349,False,False,False,OK
skewness_1st_derivative,102,0,0,102,-1.3886087324558334,2.9541878258009358,0.360664964121568,0.2457081385171543,1.056868913393465,False,False,False,OK
off_harmonic_energy_ratio,102,0,0,102,0.4018102554317074,0.9777304343636912,0.5616560569005323,0.5104996943749853,0.14636192684321236,False,False,False,OK
spectral_centroid,102,0,0,102,298.3966114702771,1566.8913654061528,871.7738091062818,784.2536500979148,338.75919888279174,False,False,False,OK
spectral_entropy,102,0,0,102,0.0356017541269353,0.3616595888390751,0.1460792885084602,0.10573324928781905,0.07923282509566465,False,False,False,OK
spectral_flatness,102,0,0,102,3.057573265868197e-07,0.0021827309792018,0.00023670227462260893,4.8191245624957304e-05,0.00046795503554872357,False,False,False,OK
spectral_rolloff_85,102,0,0,98,562.500000000023,3200.000000000068,1601.8041938998074,1450.0,729.2701871340131,False,False,False,OK
spectral_spread,102,0,0,102,531.2657765280579,1658.8231032579445,1049.5093988414953,1023.0391128304353,247.61417617968414,False,False,False,OK
spectral_skewness,102,0,0,102,1.2718139917885805,5.839868619061139,2.7140455483596364,2.6470060790964136,0.9854849370556288,False,False,False,OK
spectral_kurtosis,102,0,0,102,4.161289831935283,49.55726120843544,12.945880603412872,10.945490883012038,8.358522886036644,False,False,False,OK
cross_correlation_coeff,102,0,0,102,-0.8387964379991144,0.9860987416304228,0.8777584009687859,0.9143687612996898,0.2474031589990115,False,False,False,OK
cross_axis_peak_delay,102,0,0,54,0.0,0.0219414893617042,0.0024654506398642684,0.00023841101427305,0.004263099520295871,False,False,False,OK
bivariate_orbit_radius_ratio,102,0,0,102,0.1866952230403055,0.3821157770760243,0.263173920229121,0.26193815150772065,0.03230959837504438,False,False,False,OK
coherence_at_tpf,102,0,0,102,0.9952559419553212,0.99999999999983,0.9997567420698613,0.9999943408456378,0.0007064914538958322,False,False,False,OK
coherence_at_dominant_resonant,102,0,0,102,0.991233667244678,0.999999999963716,0.9990516410609035,0.9998844347872942,0.001540208033546681,False,False,False,OK
cross_spectral_centroid,102,0,0,102,169.75802719521093,1094.966423415868,572.1764589401662,521.921232294275,232.19238604772752,False,False,False,OK
multi_axis_energy_asymmetry,102,0,0,102,-0.521795032552648,-0.3138404744605642,-0.4230126727399341,-0.43437927952897,0.04932389072049633,False,False,False,OK
d1_energy,102,0,0,102,241.484248216729,539053.828802936,30813.692476733228,4532.555941754677,75511.52583363763,False,False,False,OK
d2_energy,102,0,0,102,1530.63310162088,6109915.821934694,355886.43857821496,32851.55679880477,870547.658822211,False,False,False,OK
d3_energy,102,0,0,102,12166.619230877292,17029414.80301742,2021935.2374898756,587623.1049195288,3344127.5864178822,False,False,False,OK
d4_energy,102,0,0,102,41956.52367466263,30352934.21621364,6137839.581935203,3771356.2536009355,6499025.9976621345,False,False,False,OK
a4_energy,102,0,0,102,477893.6482027733,218349598.15464172,30079181.53340767,12329528.953924783,42376191.27582951,False,False,True,Very large magnitude
wavelet_energy_entropy,102,0,0,102,0.0330531864366117,1.975445334341961,1.028447529780818,1.0382274447884106,0.5209674361910445,False,False,False,OK
d1_wavelet_kurtosis,102,0,0,102,3.139767472961726,16.81867535499234,7.170924043828002,5.735739315023897,3.327976908429401,False,False,False,OK
d3_wavelet_std,102,0,0,102,2.074905760630524,167.63298197963755,36.88465948551176,26.518318767331156,34.32540464692315,False,False,False,OK
d1_relative_energy,102,0,0,102,3.4377640386866567e-06,0.0111488258186289,0.001961740645448705,0.00032155922432565,0.003065460316319462,False,False,False,OK
d3_d4_subband_energy_ratio,102,0,0,102,0.0416557065261106,2.891650125115891,0.36607261370702704,0.16807786422698667,0.4903717044354112,False,False,False,OK
permutation_entropy,102,0,0,102,0.2655786926864802,0.5259506420389523,0.3917632309048129,0.39346529887947584,0.06084260428606137,False,False,False,OK
higuchi_fractal_dimension,102,0,0,102,1.0028785061987509,1.5800590036846662,1.147260579806927,1.1112490649189182,0.13515350236850524,False,False,False,OK
katz_fractal_dimension,102,0,0,102,1.020606058505365,1.6590300118724297,1.2861175257813313,1.2925614240852286,0.14907255663636124,False,False,False,OK
phase_space_ellipsicity,102,0,0,102,0.5570318012486651,0.9924316615859288,0.7417909659381354,0.7385865880992082,0.08407278828075905,False,False,False,OK
phase_space_area,102,0,0,102,2.140221191341372e-07,0.0006805721581118,0.0001322550223433331,4.79721718165739e-05,0.00018544622595016507,False,False,False,OK
ar_coeff_1,102,0,0,102,1.129618996535583,2.593902312663664,1.8568201802487265,1.8260233779782207,0.30712832499454057,False,False,False,OK
ar_coeff_2,102,0,0,102,-2.3088260413320163,-0.0304962201844132,-1.037917938212558,-0.9301778409944865,0.536266656448407,False,False,False,OK
ar_coeff_3,102,0,0,102,-0.3627794295159116,0.7048387940725056,0.0999601824451678,0.04470425865043555,0.28120168861398404,False,False,False,OK
ar_residual_variance,102,0,0,102,0.1472685621532852,739.4970433048485,45.06537562067336,8.817218919320688,109.19378087503901,False,False,False,OK
autocorr_first_zero_lag,102,0,0,37,0.0003124999999999,0.0020744680851065,0.0006483405383443648,0.0005570291777188,0.0003586767280700098,False,False,False,OK
harmonic_peak_ratio,102,0,0,102,4.992749543585933e-07,0.00968985313576,0.006208876664165659,0.00714335607626905,0.002730593053906799,False,False,False,OK
dominant_peak_tpf_ratio,102,0,0,23,0.0,2.69583333333372,0.8109885620915138,0.9999999999999987,0.5028305431737699,False,False,False,OK
transimpedance,102,0,0,102,0.0498507401788286,1.4039186073770669,0.29004092166395967,0.16036586712850495,0.31652950957140724,False,False,False,OK
acceleration_jerk_rms,102,0,0,102,44155.99071416138,5549715.107079846,1598301.1325717638,1203015.9373363613,1526100.0594059194,False,False,False,OK
