feature_1,feature_2,correlation,absolute_correlation,exceeds_085
zero_crossing_rate,mean_crossing_rate,1.0,1.0,True
margin_factor,impulse_factor,0.9867779496959878,0.9867779496959878,True
crest_factor,impulse_factor,0.9866972852983475,0.9866972852983475,True
d1_energy,d2_energy,0.9815502007468835,0.9815502007468835,True
ar_coeff_2,ar_coeff_3,-0.9734635421574143,0.9734635421574143,True
d1_energy,ar_residual_variance,0.9734187563957867,0.9734187563957867,True
kurtosis,skewness,0.972802113215015,0.972802113215015,True
spectral_skewness,spectral_kurtosis,0.9702409301647379,0.9702409301647379,True
margin_factor,shape_factor,0.9681988588154481,0.9681988588154481,True
crest_factor,spectral_entropy,0.9674676827627501,0.9674676827627501,True
skewness,crest_factor,0.9662754804578566,0.9662754804578566,True
skewness,impulse_factor,0.9656409997277505,0.9656409997277505,True
impulse_factor,spectral_entropy,0.9630052157386073,0.9630052157386073,True
skewness,spectral_entropy,0.9624752175711565,0.9624752175711565,True
spectral_centroid,spectral_rolloff_85,0.9576828711633322,0.9576828711633322,True
shape_factor,impulse_factor,0.9573771817888994,0.9573771817888994,True
crest_factor,margin_factor,0.9486874999345757,0.9486874999345757,True
kurtosis,impulse_factor,0.9462959942351746,0.9462959942351746,True
spectral_rolloff_85,spectral_spread,0.9454272358158857,0.9454272358158857,True
phase_space_area,acceleration_jerk_rms,0.9450450881265532,0.9450450881265532,True
kurtosis,margin_factor,0.9396008063580082,0.9396008063580082,True
skewness,margin_factor,0.9386276700803848,0.9386276700803848,True
ar_coeff_1,ar_coeff_2,-0.9362455187291069,0.9362455187291069,True
margin_factor,spectral_entropy,0.9341768464971438,0.9341768464971438,True
kurtosis,crest_factor,0.9298264845605354,0.9298264845605354,True
spectral_centroid,spectral_skewness,-0.9253085155990841,0.9253085155990841,True
d2_energy,ar_residual_variance,0.9219392544319378,0.9219392544319378,True
shape_factor,spectral_entropy,0.9195436643577068,0.9195436643577068,True
spectral_centroid,wavelet_energy_entropy,0.9187472624624176,0.9187472624624176,True
crest_factor,shape_factor,0.9156689990865613,0.9156689990865613,True
kurtosis,d3_wavelet_std,0.9147561289541304,0.9147561289541304,True
kurtosis,spectral_entropy,0.9131502544921404,0.9131502544921404,True
spectral_spread,spectral_skewness,-0.9102139039045961,0.9102139039045961,True
spectral_rolloff_85,spectral_skewness,-0.909371262401742,0.909371262401742,True
kurtosis,d3_energy,0.9037782586960994,0.9037782586960994,True
d3_wavelet_std,higuchi_fractal_dimension,0.898531268673654,0.898531268673654,True
skewness,d3_wavelet_std,0.898047774151524,0.898047774151524,True
skewness,shape_factor,0.8925196653905296,0.8925196653905296,True
d3_energy,d3_wavelet_std,0.8885055833218253,0.8885055833218253,True
spectral_rolloff_85,cross_spectral_centroid,0.8861486570418519,0.8861486570418519,True
spectral_entropy,higuchi_fractal_dimension,0.8814721254707177,0.8814721254707177,True
spectral_centroid,cross_spectral_centroid,0.8800268257339772,0.8800268257339772,True
d3_wavelet_std,katz_fractal_dimension,0.8788238117760188,0.8788238117760188,True
kurtosis,higuchi_fractal_dimension,0.8781196064212138,0.8781196064212138,True
skewness,d3_energy,0.8777053128157984,0.8777053128157984,True
spectral_centroid,spectral_spread,0.8775083585364112,0.8775083585364112,True
d2_energy,d3_energy,0.875112692589619,0.875112692589619,True
skewness,higuchi_fractal_dimension,0.874737642313858,0.874737642313858,True
impulse_factor,d3_energy,0.8693952514708546,0.8693952514708546,True
spectral_skewness,wavelet_energy_entropy,-0.8668226852562928,0.8668226852562928,True
spectral_spread,spectral_kurtosis,-0.8608616987744936,0.8608616987744936,True
kurtosis,shape_factor,0.8592741706154327,0.8592741706154327,True
crest_factor,d3_energy,0.8578978977773563,0.8578978977773563,True
cross_spectral_centroid,wavelet_energy_entropy,0.8572384482170278,0.8572384482170278,True
spectral_flatness,higuchi_fractal_dimension,0.8567046883214496,0.8567046883214496,True
kurtosis,d2_energy,0.855303111210717,0.855303111210717,True
margin_factor,d2_energy,0.8537381749305719,0.8537381749305719,True
crest_factor,d3_wavelet_std,0.8534236955060311,0.8534236955060311,True
margin_factor,d3_energy,0.8520317961138348,0.8520317961138348,True
spectral_entropy,d3_wavelet_std,0.8512209133586488,0.8512209133586488,True
off_harmonic_energy_ratio,multi_axis_energy_asymmetry,0.8505810750408879,0.8505810750408879,True
spectral_flatness,ar_residual_variance,0.8496582693783739,0.8496582693783739,False
spectral_flatness,d1_energy,0.8486670415798273,0.8486670415798273,False
spectral_rolloff_85,wavelet_energy_entropy,0.8483913866864377,0.8483913866864377,False
cross_spectral_centroid,d1_relative_energy,0.8481901425979134,0.8481901425979134,False
spectral_rolloff_85,d1_relative_energy,0.8473852020813903,0.8473852020813903,False
impulse_factor,d3_wavelet_std,0.8429631632343045,0.8429631632343045,False
spectral_centroid,d1_relative_energy,0.8422335822510676,0.8422335822510676,False
spectral_spread,cross_spectral_centroid,0.8417829964795931,0.8417829964795931,False
margin_factor,d1_energy,0.839670097258815,0.839670097258815,False
kurtosis,d1_energy,0.8383483597535059,0.8383483597535059,False
d3_d4_subband_energy_ratio,higuchi_fractal_dimension,0.8380507057569234,0.8380507057569234,False
spectral_entropy,spectral_flatness,0.836960804506484,0.836960804506484,False
ar_coeff_1,ar_coeff_3,0.8356841293830817,0.8356841293830817,False
crest_factor,higuchi_fractal_dimension,0.8328522568849297,0.8328522568849297,False
d3_wavelet_std,ar_residual_variance,0.8323470893428487,0.8323470893428487,False
impulse_factor,higuchi_fractal_dimension,0.8309951096817855,0.8309951096817855,False
margin_factor,spectral_flatness,0.8279898800378177,0.8279898800378177,False
d2_energy,d3_wavelet_std,0.8265005232779294,0.8265005232779294,False
