feature_name,rf_shap,xgb_shap,lr_abs_coef,permutation_mean,permutation_std,composite_stability_score
ar_coeff_2,0.04652654067125019,1.2327813,0.7083437006507584,0.005095238095238093,0.015400621361555386,0.9627659574468085
ar_coeff_3,0.05140719713774538,0.11564655,0.6610857377900199,0.007952380952380957,0.013648984745412356,0.9361702127659574
ar_coeff_1,0.010504374126373799,0.058537282,0.6586595660870938,0.010666666666666661,0.013727506854649322,0.8723404255319149
spectral_entropy,0.050892194467503094,0.83687997,0.26054279064683955,0.004999999999999996,0.015656459259784386,0.8457446808510638
impulse_factor,0.04071585685927969,0.8750316,0.30075188967308275,0.003809523809523805,0.007619047619047611,0.8404255319148937
kurtosis_1st_derivative,0.005209307375300602,0.12655784,0.27578698825532943,0.0040000000000000036,0.008000000000000007,0.7526595744680851
d2_energy,0.06844057762455853,0.6011584,0.06252280761576229,0.00023809523809523725,0.015437681026140328,0.6968085106382979
bivariate_orbit_radius_ratio,0.004166028615811289,0.0,0.7562872209512435,0.006666666666666658,0.013333333333333315,0.6914893617021277
skewness_1st_derivative,0.009126984519553539,0.19293198,0.7031600963992616,-0.0027619047619047653,0.011213856022502888,0.6542553191489362
kurtosis,0.02653961522453766,0.0,0.20163373428897946,0.0050000000000000044,0.010000000000000009,0.6276595744680851
zero_crossing_rate,0.0011457621793597053,0.024072323,0.4688790363372055,0.0010000000000000009,0.0020000000000000018,0.6170212765957447
skewness,0.027517805098199382,0.0,0.19101286190802097,0.0040000000000000036,0.008000000000000007,0.6037234042553191
permutation_entropy,0.0021876786660595168,0.007170271,0.6882645301327368,0.0,0.0,0.5851063829787234
crest_factor,0.029576150440575037,0.0,0.4277190379886951,0.0,0.0,0.5797872340425532
phase_space_ellipsicity,0.003581735517478505,0.043367326,0.2834788479185593,0.0,0.0,0.5744680851063829
d4_energy,0.004842388668412842,0.022294959,0.22278671411152284,0.0,0.0,0.5585106382978723
d3_energy,0.00932561331285194,0.0,0.10935760128561725,0.0050000000000000044,0.010000000000000009,0.5531914893617021
spectral_flatness,0.005871467192682166,0.0,0.16611725801599636,0.0050000000000000044,0.010000000000000009,0.553191489361702
multi_axis_energy_asymmetry,0.007519329574698658,0.0,0.6399577775300844,0.0,0.0,0.5478723404255319
d1_energy,0.004353500689400105,0.019493718,0.021665163573363594,0.0040000000000000036,0.008000000000000007,0.5345744680851063
spectral_skewness,0.0019791129407208735,0.009266081,0.272241204105935,0.0,0.0,0.5106382978723404
spectral_centroid,0.00132796762153157,0.0070102285,0.3312337881592326,0.0,0.0,0.49468085106382975
ar_residual_variance,0.007413331234563319,0.0,0.06384450447027655,0.0040000000000000036,0.008000000000000007,0.4920212765957447
wavelet_energy_entropy,0.0011219321364210164,0.006810741,0.1852046070972583,0.0020000000000000018,0.0040000000000000036,0.4813829787234043
coherence_at_tpf,0.0014385716300265026,0.015684426,0.24467824089781043,0.0,0.0,0.4787234042553191
margin_factor,0.011888190436665624,0.0,0.18987304168675473,0.0,0.0,0.4734042553191489
d3_d4_subband_energy_ratio,0.002955670373883471,0.051864233,0.1209829774695176,0.0,0.0,0.4734042553191489
shape_factor,0.008364435220385422,0.0,0.21836109203107848,0.0,0.0,0.46808510638297873
cross_axis_peak_delay,0.02870484516458575,0.0,0.267224576163728,-0.0007142857142857159,0.01696334583862561,0.4521276595744681
cross_spectral_centroid,0.004590447177296061,0.059571452,0.00163322344423194,0.0,0.0,0.44148936170212766
spectral_kurtosis,0.0017571343754256843,0.0,0.1568358002483291,0.0020000000000000018,0.0040000000000000036,0.4335106382978723
d3_wavelet_std,0.0042827840761297505,0.0,0.1794988704286819,0.0,0.0,0.39361702127659576
acceleration_jerk_rms,0.000724641598429671,0.0,0.49854501185887085,0.0,0.0,0.39361702127659576
coherence_at_dominant_resonant,0.0012738230053850877,0.06431882,0.018892763100618538,0.0,0.0,0.3776595744680851
transimpedance,0.0005918675375291944,0.0,0.3717259367930547,0.0,0.0,0.37234042553191493
d1_relative_energy,0.0002774500972669944,0.043722343,0.1533689616839428,0.0,0.0,0.3670212765957447
harmonic_peak_ratio,0.0003938691913732008,0.0,0.3680590154436142,0.0,0.0,0.3563829787234043
higuchi_fractal_dimension,0.001688565613290434,0.0,0.18047399610262477,0.0,0.0,0.34574468085106386
autocorr_first_zero_lag,0.003385296345981418,0.0,0.08981077877532563,0.0,0.0,0.3404255319148936
spectral_rolloff_85,0.0011083822723753722,0.0,0.22176271488273575,0.0,0.0,0.3351063829787234
cross_correlation_coeff,0.0021592632601176525,0.0,0.053747195786371556,0.0,0.0,0.2978723404255319
katz_fractal_dimension,0.001130077655458913,0.0,0.1418551392360586,0.0,0.0,0.2872340425531915
d1_wavelet_kurtosis,0.0016934466504624245,0.0,0.04142980718386292,0.0,0.0,0.2765957446808511
off_harmonic_energy_ratio,0.00124040533201056,0.0,0.08634540264186542,0.0,0.0,0.2765957446808511
phase_space_area,0.0008152431368967014,0.0,0.05398190240784674,0.0,0.0,0.22872340425531917
a4_energy,0.0009567565817169298,0.0,0.019175915348150222,0.0,0.0,0.2074468085106383
dominant_peak_tpf_ratio,0.0,0.0,0.022357210878541523,0.0,0.0,0.18085106382978722
spectral_spread,0.000412905557645381,0.0,0.005410461206993819,0.0,0.0,0.17553191489361702
