model,subset,num_features,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high
LightGBM,Set A (All 48),48,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9925925925925926,0.010143010324169758,0.9837018520447128,1.0014833331404722,0.9907884399551066,0.012678699258982146,0.9796750700586373,1.0019018098515757
LightGBM,Set B (Top 20 Fold SHAP),20,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9944444444444445,0.008281733249999259,0.9871851851851852,1.0017037037037038,0.9926851851851852,0.011037780997932947,0.9830101435613888,1.0023602268089815
LightGBM,Set C (Fold Pruned 12),12,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9907407407407408,0.013094570021973121,0.9792628440482778,1.0022186374332038,0.9881649831649831,0.016549000777889154,0.9736591444109528,1.0026708219190135
LightGBM,Set D (Compact 6),6,0.893552036199095,0.10412187737831484,0.8022851866600736,0.9848188857381163,0.836111111111111,0.16208993845439063,0.6940330157368234,0.9781892064853986,0.975,0.055901699437494734,0.9259999999999999,1.024,0.9223809523809525,0.0739169724817087,0.8575898693182004,0.9871720354437047,0.9421296296296295,0.06812008782204704,0.8824197400043152,1.0018395192549439,0.9464750997865032,0.052537353570705325,0.9004240789612242,0.9925261206117822
Logistic Regression,Set A (All 48),48,0.9483333333333335,0.05283622494715785,0.9020203401960579,0.994646326470609,0.9055555555555556,0.09491305312927716,0.8223605963659033,0.9887505147452078,1.0,0.0,1.0,1.0,0.9609523809523809,0.04014570966535712,0.9257631149122311,0.9961416469925307,0.9849537037037036,0.028184712180291508,0.9602487142180356,1.0096586931893716,0.9841154948446615,0.028008111763487914,0.95956530244943,1.0086656872398931
Logistic Regression,Set B (Top 20 Fold SHAP),20,0.9263725490196079,0.07763102676637243,0.8583259538386238,0.994419144200592,0.8861111111111111,0.11128458680005626,0.7885658699454137,0.9836563522768085,0.975,0.055901699437494734,0.9259999999999999,1.024,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9814814814814815,0.032075014954979254,0.9533664912645684,1.0095964716983947,0.9823611111111112,0.027725087200867034,0.958059000683118,1.0066632215391045
Logistic Regression,Set C (Fold Pruned 12),12,0.9263725490196079,0.07763102676637243,0.8583259538386238,0.994419144200592,0.8861111111111111,0.11128458680005626,0.7885658699454137,0.9836563522768085,0.975,0.055901699437494734,0.9259999999999999,1.024,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9694444444444444,0.034583054438857605,0.9391310606912587,0.9997578281976301,0.9688520121853456,0.03273247623127685,0.9401607317507333,0.9975432926199578
Logistic Regression,Set D (Compact 6),6,0.8518853695324283,0.07680409572102191,0.7845636113712469,0.9192071276936098,0.763888888888889,0.11578702778147963,0.6623970841963273,0.8653806935814506,0.975,0.055901699437494734,0.9259999999999999,1.024,0.8928571428571429,0.052245495851170685,0.8470619466025138,0.938652339111772,0.9229166666666666,0.07865943744246734,0.853968629782913,0.9918647035504202,0.9254420086492455,0.06619876945082967,0.86741622882984,0.983467788468651
Random Forest,Set A (All 48),48,0.936140350877193,0.08189055747840739,0.8643601124082606,1.0079205893461256,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9800000000000001,0.04472135954999578,0.9408000000000001,1.0192,0.9519047619047619,0.05833090373949097,0.9007754704521665,1.0030340533573574,0.9912037037037038,0.009024809578526824,0.9832931093246855,0.9991142980827221,0.98912177328844,0.011259305114113558,0.979252557215529,0.998990989361351
Random Forest,Set B (Top 20 Fold SHAP),20,0.936140350877193,0.08189055747840739,0.8643601124082606,1.0079205893461256,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9800000000000001,0.04472135954999578,0.9408000000000001,1.0192,0.9519047619047619,0.05833090373949097,0.9007754704521665,1.0030340533573574,0.9944444444444445,0.008281733249999259,0.9871851851851852,1.0017037037037038,0.9926851851851852,0.011037780997932947,0.9830101435613888,1.0023602268089815
Random Forest,Set C (Fold Pruned 12),12,0.936140350877193,0.08189055747840739,0.8643601124082606,1.0079205893461256,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9800000000000001,0.04472135954999578,0.9408000000000001,1.0192,0.9519047619047619,0.05833090373949097,0.9007754704521665,1.0030340533573574,0.993287037037037,0.007866965494428878,0.9863913377451392,1.0001827363289348,0.9914197530864197,0.010444122481393089,0.9822650760955981,1.0005744300772415
Random Forest,Set D (Compact 6),6,0.8802187028657616,0.09045434637231953,0.800931972465025,0.9595054332664983,0.8111111111111111,0.13840192409281235,0.6897964757996997,0.9324257464225225,0.975,0.055901699437494734,0.9259999999999999,1.024,0.9123809523809523,0.06342903617733354,0.8567829508181463,0.9679789539437583,0.9773148148148149,0.03037615685615606,0.9506889393775948,1.003940690252035,0.9751476918143585,0.029826305089158973,0.9490037827011315,1.0012916009275854
XGBoost,Set A (All 48),48,0.9243756449948402,0.07429589458654821,0.8592524220629254,0.9894988679267549,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9577777777777777,0.057948465824023555,0.9069837079382365,1.008571847617319,0.9419047619047619,0.05196261520251659,0.8963575214712174,0.9874520023383064,0.9814814814814815,0.036453740157462104,0.9495283693992115,1.0134345935637517,0.9789212639212639,0.04089368946932675,0.9430763646756246,1.0147661631669032
XGBoost,Set B (Top 20 Fold SHAP),20,0.9243756449948402,0.07429589458654821,0.8592524220629254,0.9894988679267549,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9577777777777777,0.057948465824023555,0.9069837079382365,1.008571847617319,0.9419047619047619,0.05196261520251659,0.8963575214712174,0.9874520023383064,0.9814814814814815,0.036453740157462104,0.9495283693992115,1.0134345935637517,0.9789212639212639,0.04089368946932675,0.9430763646756246,1.0147661631669032
XGBoost,Set C (Fold Pruned 12),12,0.9243756449948402,0.07429589458654821,0.8592524220629254,0.9894988679267549,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9577777777777777,0.057948465824023555,0.9069837079382365,1.008571847617319,0.9419047619047619,0.05196261520251659,0.8963575214712174,0.9874520023383064,0.9833333333333332,0.032341202215875886,0.9549850196948572,1.011681646971809,0.9811919870253203,0.035861049474432354,0.9497583912325492,1.0126255828180912
