fold,model,subset,num_features,f1,recall,precision,accuracy,roc_auc,pr_auc
1,Logistic Regression,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
1,Logistic Regression,Set B (Top 20 Fold SHAP),20,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9814814814814814,0.9751543209876545
1,Logistic Regression,Set C (Fold Pruned 12),12,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9722222222222223,0.9656705948372617
1,Logistic Regression,Set D (Compact 6),6,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9444444444444444,0.9391414141414143
1,Random Forest,Set A (All 48),48,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407407,0.9882716049382716
1,Random Forest,Set B (Top 20 Fold SHAP),20,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9814814814814814,0.9751543209876543
1,Random Forest,Set C (Fold Pruned 12),12,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9814814814814815,0.9751543209876543
1,Random Forest,Set D (Compact 6),6,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9814814814814814,0.9751543209876543
1,XGBoost,Set A (All 48),48,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407407,0.9882716049382716
1,XGBoost,Set B (Top 20 Fold SHAP),20,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407407,0.9882716049382716
1,XGBoost,Set C (Fold Pruned 12),12,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407407,0.9882716049382716
1,XGBoost,Set D (Compact 6),6,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9722222222222222,0.9656705948372615
1,LightGBM,Set A (All 48),48,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9814814814814814,0.9751543209876543
1,LightGBM,Set B (Top 20 Fold SHAP),20,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9814814814814814,0.9751543209876543
1,LightGBM,Set C (Fold Pruned 12),12,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9814814814814814,0.9751543209876543
1,LightGBM,Set D (Compact 6),6,0.8235294117647058,0.7777777777777778,0.875,0.8571428571428571,0.9398148148148148,0.9381834215167549
2,Logistic Regression,Set A (All 48),48,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9351851851851851,0.9353344186677521
2,Logistic Regression,Set B (Top 20 Fold SHAP),20,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9259259259259258,0.9366512345679014
2,Logistic Regression,Set C (Fold Pruned 12),12,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9166666666666666,0.9221500721500722
2,Logistic Regression,Set D (Compact 6),6,0.8,0.6666666666666666,1.0,0.8571428571428571,0.8055555555555556,0.8483918128654973
2,Random Forest,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9861111111111112,0.9837261503928171
2,Random Forest,Set B (Top 20 Fold SHAP),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9907407407407407,0.9882716049382716
2,Random Forest,Set C (Fold Pruned 12),12,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9953703703703702,0.9944444444444445
2,Random Forest,Set D (Compact 6),6,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9259259259259258,0.926973026973027
2,XGBoost,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9166666666666666,0.906334714668048
2,XGBoost,Set B (Top 20 Fold SHAP),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9166666666666666,0.906334714668048
2,XGBoost,Set C (Fold Pruned 12),12,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9259259259259259,0.9176883301883302
2,XGBoost,Set D (Compact 6),6,0.875,0.7777777777777778,1.0,0.9047619047619048,0.8333333333333334,0.8835769980506822
2,LightGBM,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9814814814814815,0.9787878787878788
2,LightGBM,Set B (Top 20 Fold SHAP),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9907407407407407,0.9882716049382716
2,LightGBM,Set C (Fold Pruned 12),12,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9722222222222222,0.9656705948372617
2,LightGBM,Set D (Compact 6),6,0.875,0.7777777777777778,1.0,0.9047619047619048,0.8333333333333334,0.8835769980506822
3,Logistic Regression,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
3,Logistic Regression,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
3,Logistic Regression,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
3,Logistic Regression,Set D (Compact 6),6,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
3,Random Forest,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
3,Random Forest,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
3,Random Forest,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
3,Random Forest,Set D (Compact 6),6,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
3,XGBoost,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
3,XGBoost,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
3,XGBoost,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
3,XGBoost,Set D (Compact 6),6,1.0,1.0,1.0,1.0,1.0,1.0
3,LightGBM,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
3,LightGBM,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
3,LightGBM,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
3,LightGBM,Set D (Compact 6),6,1.0,1.0,1.0,1.0,1.0,1.0
4,Logistic Regression,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,Logistic Regression,Set B (Top 20 Fold SHAP),20,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,Logistic Regression,Set C (Fold Pruned 12),12,0.9333333333333333,0.875,1.0,0.95,0.9583333333333334,0.9564393939393939
4,Logistic Regression,Set D (Compact 6),6,0.7692307692307693,0.625,1.0,0.85,0.8854166666666666,0.8660657051282051
4,Random Forest,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,0.9791666666666666,0.9736111111111111
4,Random Forest,Set B (Top 20 Fold SHAP),20,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,Random Forest,Set C (Fold Pruned 12),12,0.9333333333333333,0.875,1.0,0.95,0.9895833333333334,0.9875
4,Random Forest,Set D (Compact 6),6,0.7692307692307693,0.625,1.0,0.85,0.9791666666666667,0.9736111111111111
4,XGBoost,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,XGBoost,Set B (Top 20 Fold SHAP),20,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,XGBoost,Set C (Fold Pruned 12),12,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,XGBoost,Set D (Compact 6),6,0.7692307692307693,0.625,1.0,0.85,0.8645833333333333,0.8687594829598506
4,LightGBM,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,LightGBM,Set B (Top 20 Fold SHAP),20,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,LightGBM,Set C (Fold Pruned 12),12,0.9333333333333333,0.875,1.0,0.95,1.0,1.0
4,LightGBM,Set D (Compact 6),6,0.7692307692307693,0.625,1.0,0.85,0.9374999999999999,0.9106150793650793
5,Logistic Regression,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,0.9895833333333333,0.9852430555555556
5,Logistic Regression,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
5,Logistic Regression,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
5,Logistic Regression,Set D (Compact 6),6,0.9333333333333333,0.875,1.0,0.95,0.9791666666666667,0.9736111111111111
5,Random Forest,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
5,Random Forest,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
5,Random Forest,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
5,Random Forest,Set D (Compact 6),6,1.0,1.0,1.0,1.0,1.0,1.0
5,XGBoost,Set A (All 48),48,0.9411764705882353,1.0,0.8888888888888888,0.95,1.0,1.0
5,XGBoost,Set B (Top 20 Fold SHAP),20,0.9411764705882353,1.0,0.8888888888888888,0.95,1.0,1.0
5,XGBoost,Set C (Fold Pruned 12),12,0.9411764705882353,1.0,0.8888888888888888,0.95,1.0,1.0
5,XGBoost,Set D (Compact 6),6,0.875,0.875,0.875,0.9,0.9479166666666666,0.9499198717948718
5,LightGBM,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0
5,LightGBM,Set B (Top 20 Fold SHAP),20,1.0,1.0,1.0,1.0,1.0,1.0
5,LightGBM,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0
5,LightGBM,Set D (Compact 6),6,1.0,1.0,1.0,1.0,1.0,1.0
