model,subset,num_features,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,delta_f1_vs_set_a
LightGBM,Set A (All 48),48,0.9244444444444445,0.08403409067195128,0.8201190670173361,1.0,0.8861111111111111,0.13622444261376923,0.7169932414841539,1.0,0.9777777777777779,0.04969039949999535,0.916088888888889,1.0,0.9423809523809524,0.06200541268158821,0.8654034063778345,1.0,0.9925925925925926,0.010143010324169758,0.9800004008778406,1.0,0.9907884399551066,0.012678699258982146,0.9750482793262297,1.0,0.0
LightGBM,Set B (Fold Top 20),20,0.9244444444444445,0.08403409067195128,0.8201190670173361,1.0,0.8861111111111111,0.13622444261376923,0.7169932414841539,1.0,0.9777777777777779,0.04969039949999535,0.916088888888889,1.0,0.9423809523809524,0.06200541268158821,0.8654034063778345,1.0,0.9925925925925926,0.010143010324169758,0.9800004008778406,1.0,0.9907884399551066,0.01267869925898212,0.9750482793262297,1.0,0.0
LightGBM,Set C (Fold Pruned 12),12,0.9243756449948402,0.07429589458654821,0.8321398965973936,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9419047619047619,0.05196261520251659,0.8773949968825581,1.0,0.987037037037037,0.02028602064833946,0.961852653607533,1.0,0.9852849002849002,0.021847381319710358,0.9581621423214646,1.0,-6.879944960436202e-05
LightGBM,Set D (Fold Top 6),6,0.9244444444444445,0.08403409067195128,0.8201190670173361,1.0,0.8861111111111111,0.13622444261376923,0.7169932414841539,1.0,0.9777777777777779,0.04969039949999535,0.916088888888889,1.0,0.9423809523809524,0.06200541268158821,0.8654034063778345,1.0,0.983101851851852,0.018869645699021064,0.9596758482653901,1.0,0.9757559223184223,0.027287662461037983,0.941879246048258,1.0,0.0
LightGBM,Set E_fixed (7 Fixed High-Stab),7,0.9359022556390977,0.06756597184793045,0.8520214703780098,1.0,0.9055555555555556,0.1296957503325417,0.744542828507024,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9514285714285714,0.048841452971268885,0.8907936198919716,1.0,0.9796296296296296,0.03609923831410729,0.934813690861967,1.0,0.9835929557007989,0.025209105606383262,0.9522967348937879,1.0,0.011457811194653167
LightGBM,Set E_nested (Fold Top 7),7,0.9244444444444445,0.08403409067195128,0.8201190670173361,1.0,0.8861111111111111,0.13622444261376923,0.7169932414841539,1.0,0.9777777777777779,0.04969039949999535,0.916088888888889,1.0,0.9423809523809524,0.06200541268158821,0.8654034063778345,1.0,0.987037037037037,0.020286020648339485,0.9618526536075329,1.0,0.9831208914542249,0.02616759688881244,0.9506347373237205,1.0,0.0
Logistic Regression,Set A (All 48),48,0.9483333333333335,0.05283622494715785,0.8827390124409473,1.0,0.9055555555555556,0.09491305312927716,0.7877243276420481,1.0,1.0,0.0,1.0,1.0,0.9609523809523809,0.04014570966535712,0.9111128898669442,1.0,0.9849537037037036,0.028184712180291508,0.9499633716566553,1.0,0.9841154948446615,0.028008111763487914,0.94934440602366,1.0,0.0
Logistic Regression,Set B (Fold Top 20),20,0.9366666666666668,0.06252777160768024,0.8590406303701309,1.0,0.8861111111111111,0.11128458680005626,0.7479551981131641,1.0,1.0,0.0,1.0,1.0,0.9519047619047619,0.04763095089322905,0.8927726062591869,1.0,0.975925925925926,0.04421235698634563,0.9210378347636317,1.0,0.9769213810880478,0.039220622679545965,0.9282303530629707,1.0,-0.011666666666666714
Logistic Regression,Set C (Fold Pruned 12),12,0.9366666666666668,0.06252777160768024,0.8590406303701309,1.0,0.8861111111111111,0.11128458680005626,0.7479551981131641,1.0,1.0,0.0,1.0,1.0,0.9519047619047619,0.04763095089322905,0.8927726062591869,1.0,0.9699074074074074,0.03824701768948681,0.9224250758439765,1.0,0.9698807519640853,0.034168501027561075,0.9274617558481596,1.0,-0.011666666666666714
Logistic Regression,Set D (Fold Top 6),6,0.9233333333333335,0.0518411033833193,0.8589744209745933,0.9876922456920736,0.861111111111111,0.09160351359911749,0.7473885604955075,0.9748336617267146,1.0,0.0,1.0,1.0,0.9419047619047619,0.03957684336341447,0.8927714983893646,0.9910380254201592,0.9638888888888889,0.04564354645876382,0.9072240261725047,1.0,0.9687676472325595,0.03480650706121112,0.9255565889936419,1.0,-0.025000000000000022
