model,subset,num_features,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,delta_f1_vs_set_a
LightGBM,Set A (All 48),48,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9925925925925926,0.010143010324169758,0.9837018520447128,1.0014833331404722,0.9907884399551066,0.012678699258982146,0.9796750700586373,1.0019018098515757,0.0
LightGBM,Set B (Fold Top 20),20,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.9925925925925926,0.010143010324169758,0.9837018520447128,1.0014833331404722,0.9907884399551066,0.01267869925898212,0.9796750700586374,1.0019018098515757,0.0
LightGBM,Set C (Fold Pruned 12),12,0.9243756449948402,0.07429589458654821,0.8592524220629254,0.9894988679267549,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9577777777777777,0.057948465824023555,0.9069837079382365,1.008571847617319,0.9419047619047619,0.05196261520251659,0.8963575214712174,0.9874520023383064,0.987037037037037,0.02028602064833946,0.9692555559412777,1.0048185181327964,0.9852849002849002,0.021847381319710358,0.9661348262184976,1.004434974351303,-6.879944960436202e-05
LightGBM,Set D (Fold Top 6),6,0.9244444444444445,0.08403409067195128,0.8507853162898578,0.9981035725990313,0.8861111111111111,0.13622444261376923,0.7667051224695995,1.0055170997526226,0.9777777777777779,0.04969039949999535,0.9342222222222223,1.0213333333333334,0.9423809523809524,0.06200541268158821,0.8880308118312006,0.9967310929307043,0.983101851851852,0.018869645699021064,0.9665618781380677,0.9996418255656362,0.9757559223184223,0.027287662461037983,0.9518372315801219,0.9996746130567228,0.0
Logistic Regression,Set A (All 48),48,0.9483333333333335,0.05283622494715785,0.9020203401960579,0.994646326470609,0.9055555555555556,0.09491305312927716,0.8223605963659033,0.9887505147452078,1.0,0.0,1.0,1.0,0.9609523809523809,0.04014570966535712,0.9257631149122311,0.9961416469925307,0.9849537037037036,0.028184712180291508,0.9602487142180356,1.0096586931893716,0.9841154948446615,0.028008111763487914,0.95956530244943,1.0086656872398931,0.0
Logistic Regression,Set B (Fold Top 20),20,0.9366666666666668,0.06252777160768024,0.8818586583304959,0.9914746750028376,0.8861111111111111,0.11128458680005626,0.7885658699454137,0.9836563522768085,1.0,0.0,1.0,1.0,0.9519047619047619,0.04763095089322905,0.9101543926449178,0.993655131164606,0.975925925925926,0.04421235698634563,0.937172086344479,1.014679765507373,0.9769213810880478,0.039220622679545965,0.9425429895429647,1.011299772633131,-0.011666666666666714
Logistic Regression,Set C (Fold Pruned 12),12,0.9366666666666668,0.06252777160768024,0.8818586583304959,0.9914746750028376,0.8861111111111111,0.11128458680005626,0.7885658699454137,0.9836563522768085,1.0,0.0,1.0,1.0,0.9519047619047619,0.04763095089322905,0.9101543926449178,0.993655131164606,0.9699074074074074,0.03824701768948681,0.9363824182631983,1.0034323965516165,0.9698807519640853,0.034168501027561075,0.9399307402972213,0.9998307636309492,-0.011666666666666714
Logistic Regression,Set D (Fold Top 6),6,0.9233333333333335,0.0518411033833193,0.8778926027054045,0.9687740639612624,0.861111111111111,0.09160351359911749,0.7808170912240134,0.9414051309982087,1.0,0.0,1.0,1.0,0.9419047619047619,0.03957684336341447,0.9072141291633431,0.9765953946461807,0.9638888888888889,0.04564354645876382,0.9238805564234304,1.0038972213543476,0.9687676472325595,0.03480650706121112,0.9382583986200672,0.9992768958450517,-0.025000000000000022
Random Forest,Set A (All 48),48,0.936140350877193,0.08189055747840739,0.8643601124082606,1.0079205893461256,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9800000000000001,0.04472135954999578,0.9408000000000001,1.0192,0.9519047619047619,0.05833090373949097,0.9007754704521665,1.0030340533573574,0.9912037037037038,0.009024809578526824,0.9832931093246855,0.9991142980827221,0.98912177328844,0.011259305114113558,0.979252557215529,0.998990989361351,0.0
Random Forest,Set B (Fold Top 20),20,0.936140350877193,0.08189055747840739,0.8643601124082606,1.0079205893461256,0.9083333333333332,0.14553540997144152,0.7807659219601912,1.0359007447064752,0.9800000000000001,0.04472135954999578,0.9408000000000001,1.0192,0.9519047619047619,0.05833090373949097,0.9007754704521665,1.0030340533573574,0.9925925925925926,0.010143010324169758,0.9837018520447128,1.0014833331404722,0.9900617283950617,0.013608538851594411,0.9781333181599897,1.0019901386301335,0.0
