feature_name,permutation_importance
ar_coeff_1,0.010666666666666661
ar_coeff_3,0.007952380952380957
bivariate_orbit_radius_ratio,0.006666666666666658
ar_coeff_2,0.005095238095238093
kurtosis,0.0050000000000000044
spectral_flatness,0.0050000000000000044
d3_energy,0.0050000000000000044
spectral_entropy,0.004999999999999996
kurtosis_1st_derivative,0.0040000000000000036
d1_energy,0.0040000000000000036
ar_residual_variance,0.0040000000000000036
skewness,0.0040000000000000036
impulse_factor,0.003809523809523805
spectral_kurtosis,0.0020000000000000018
wavelet_energy_entropy,0.0020000000000000018
zero_crossing_rate,0.0010000000000000009
d2_energy,0.00023809523809523725
phase_space_area,0.0
spectral_rolloff_85,0.0
spectral_spread,0.0
off_harmonic_energy_ratio,0.0
spectral_centroid,0.0
margin_factor,0.0
shape_factor,0.0
crest_factor,0.0
spectral_skewness,0.0
coherence_at_dominant_resonant,0.0
cross_spectral_centroid,0.0
d4_energy,0.0
multi_axis_energy_asymmetry,0.0
cross_correlation_coeff,0.0
coherence_at_tpf,0.0
harmonic_peak_ratio,0.0
d3_wavelet_std,0.0
a4_energy,0.0
d1_wavelet_kurtosis,0.0
higuchi_fractal_dimension,0.0
d1_relative_energy,0.0
permutation_entropy,0.0
d3_d4_subband_energy_ratio,0.0
transimpedance,0.0
phase_space_ellipsicity,0.0
katz_fractal_dimension,0.0
autocorr_first_zero_lag,0.0
acceleration_jerk_rms,0.0
dominant_peak_tpf_ratio,0.0
cross_axis_peak_delay,-0.0007142857142857159
skewness_1st_derivative,-0.0027619047619047653
